Phone Number Combined,Company Name,Primary SIC Code Description,Company Website,Location Address,Location City,Location State,Location ZIP Code,Executive First Name,Home Business,Credit Rating,Advertising Expense,Latitude,Longitude,Company Description
(650) 994-6666,Allstate Insurance,Insurance,http://Allstate.Com,333 Gellert Blvd # 228,Daly City,CA,94015,John,No,Very Good,"Less than $5,000",037.666653,-122.466813,
(650) 755-3565,Allstate Insurance,Insurance,http://Agents.Allstate.Com,6598 Mission St,Daly City,CA,94014,Reynaldo,No,Excellent,"Less than $5,000",037.703182,-122.463052,"As An Allstate Agent IN Daly City, I Know Many Local Families. My Knowledge And Understanding Of The People IN This Community Help ME Provide Customers With An Outstanding Level Of Service. I Look Forward To Helping Families Like Yours Protect The Things That Are Important - Your Family, Home, Car, Boat, And More."
(650) 204-5043,Alonzo Garage Doors & Gates,Doors-Garage,,6748 Mission St,Daly City,CA,94014,,No,Very Good,"$10,000 to $20,000",037.700353,-122.464130,
(415) 440-0300,Amark Electric,Electric Contractors,http://Intercoms.Net,22 Westlawn Ave,Daly City,CA,94015,,No,Very Good,"Less than $5,000",037.705475,-122.477564,
(415) 333-8313,Amayo's Painting,Painters,,211 Frankfort St,Daly City,CA,94014,Marco,Yes,Very Good,"Less than $5,000",037.705438,-122.446167,
(650) 488-2628,America's Best,Optical Goods-Retail,http://Americasbest.Com,148a Serramonte Ctr,Daly City,CA,94015,,No,Very Good,"$5,000 to $10,000",037.670900,-122.468611,
(650) 301-5099,American Brokerage Network,Insurance-Life (Agents),http://Abnlife.Com,347 Gellert Blvd # M,Daly City,CA,94015,Christopher,No,Excellent,"Less than $5,000",037.666498,-122.468589,
(650) 994-1413,American General Life & Accdnt,Insurance,,455 Hickey Blvd,Daly City,CA,94015,,No,Excellent,"$20,000 to $50,000",037.663158,-122.466967,
(415) 347-7000,Americana Garage Doors,Doors-Garage,,5990 Mission St,Daly City,CA,94014,,No,Good,"$10,000 to $20,000",037.708057,-122.455138,
(415) 584-2266,AMPM,Convenience Stores,http://Ampm.Com,5898 Mission St,San Francisco,CA,94112,Nancy,No,Excellent,"$20,000 to $50,000",037.709083,-122.452726,
(650) 756-3237,Andersen Bakery,Restaurants,http://Andersenbakery.Com,3 Serramonte Ctr,Daly City,CA,94015,Marife,No,Excellent,"$10,000 to $20,000",037.672304,-122.470901,
(415) 584-9575,Anderson Roofing-Sheet Metal,Home Improvements,http://Andersonroofingcompany.Com,2940 San Jose Ave,San Francisco,CA,94112,James A,No,Excellent,"$20,000 to $50,000",037.711828,-122.455295,"IN 1928, William J. Anderson Started Anderson Roofing Company. He Had A Trusted Friend Charles Henry Barron That Eventually Became His Partner. IN 1968, William J. Anderson Passed Away, Leaving Charles To Continue To Run The Company. IN 1967, Charlie's Son James A. Barron Came Aboard. Now, James Works Side By Side With His Daughter Jenise. We Are A Family Business That Caters To All Your Roofing And Sheet Metal Needs. We Work On Residential Houses, Apartments, And Condominiums, Commercial And Industrial Buildings."
(650) 992-7411,Andrea Hair Salon,Beauty Salons,,26 Hillcrest Dr,Daly City,CA,94014,,No,Very Good,"Less than $5,000",037.706094,-122.462379,
(650) 757-4767,Antonio Sandoval Painting,Painters,http://Sandovalpainting.Com,716 87th St,Daly City,CA,94015,,Yes,Very Good,"Less than $5,000",037.693545,-122.482504,
(650) 991-5177,Anx Home Healthcare Inc,Home Health Service,http://Anxlife.Com,455 Hickey Blvd # 415,Daly City,CA,94015,Thomas A,No,Very Good,"$5,000 to $10,000",037.664069,-122.468074,
(650) 754-9420,Aren Electric Co,Electric Contractors,http://Arenelectric.Com,23 Hampshire Ave,Daly City,CA,94015,Gerry,Yes,Very Good,"Less than $5,000",037.656486,-122.462607,
(415) 586-8686,Armenian School-Krouzian,Schools,http://Kzv.Org,825 Brotherhood Way,San Francisco,CA,94132,Grace,No,Institution Or Government,,037.713882,-122.478148,"Founded IN 1980, Krouzian Zekarian Vasbouragan Armenian Day School Offers Opportunities For Students To Develop Oral And Written Fluency IN The Armenian Language, Culture And History. The School Offers Various Pre-Kindergarten, Elementary And Middle School Education. Its Curriculum Includes Mathematics, Science, Social Studies, And English Language And Literature. Krouzian Zekarian Vasbouragan Armenian Day School Also Offers Classes IN Armenian History, Spanish, Music, Art, And Physical And Health Education. The School Is Accredited By The Western Association Of Schools And Colleges. Its Armenian Studies Department Invites Poets, Writers, Artists And Musicians As Guest Speakers. IN Addition, It Organizes Language Recitation And General Knowledge Competitions. Krouzian Zekarian Vasbouragan Armenian Day School Is Located IN San Francisco."
(650) 878-1555,Art's Martin Door,Doors-Garage,http://Artsmartindoors.Com,245 Warwick St,Daly City,CA,94015,,No,Very Good,"$20,000 to $50,000",037.652355,-122.465669,
(650) 755-9032,Asf Electric Inc,Federal Government Contractors,http://Asfelectric.Net,76 Hill St,Daly City,CA,94014,Cathy,No,Excellent,,037.688493,-122.468770,"Established IN 1996, A.S.F Electric Offers New Installation, Renovation And General Repair Services. Its Services Include Upgrading And Installing Fire Life And Uninterruptible Power Supply Systems And Generators IN Shopping Centers, Offices, Radio Stations, Hotels And Schools. It Also Provides Parking Lot Lighting Maintenance At Office Sites. IN Addition, A.S.F Electric Offers Motor Control Wiring And High-Voltage Maintenance Services With Programmable Controllers, Leak Detection Systems And Dispensers. It Undertakes Construction And Lighting Projects For Underground Units, Residential Tracks, Apartment Buildings And Custom Homes. The Company Maintains A 24-Hour Emergency Service Department And Has A Staff Of More Than 20 Wiremen And Estimators. A.S.F Electric Is Located IN Daly City, Calif."
(415) 338-6338,Asia Express,Restaurants,,1650 Holloway Ave,San Francisco,CA,94132,Frank,No,Excellent,"$10,000 to $20,000",037.722122,-122.478906,
(415) 494-5804,Asociado Independiente Hrblf,Weight Control Services,,6299 Mission St,Daly City,CA,94014,,No,Very Good,"Less than $5,000",037.705816,-122.461102,
(415) 337-5425,Atech Auto Repair,Automobile Repairing & Service,,5975 Mission St,Daly City,CA,94014,Shek,No,Very Good,"$5,000 to $10,000",037.707995,-122.454366,
(650) 761-4230,Atlas Roofing Co,Roofing Materials-Manufacturers,,1680 Bryant St,Daly City,CA,94015,,No,Excellent,"$10,000 to $20,000",037.686430,-122.473336,
(650) 878-5111,Atria Daly City,Residential Care Homes,http://Atriaseniorliving.Com,501 King Dr,Daly City,CA,94015,Christine,No,Institution Or Government,"$10,000 to $20,000",037.653999,-122.453423,
(650) 994-3324,AU Energy LLC,Service Stations-Gasoline & Oil,,398 Gellert Blvd,Daly City,CA,94015,Raj,No,Very Good,"Less than $5,000",037.664941,-122.469530,
(650) 757-8716,Auntie Anne's Pretzels,Pretzels-Retail,http://Auntieannes.Com,32 Serramonte Ctr,Daly City,CA,94015,Charles,No,Excellent,"$5,000 to $10,000",037.673951,-122.470341,
(650) 994-4228,Aurora's Hair Styling,Beauty Salons,,6719 Mission St,Daly City,CA,94014,Deborah,No,Very Good,"Less than $5,000",037.701155,-122.463343,
(650) 755-1401,Austria June V DDS,Dentists,http://Jvaustriadds.Com,333 Gellert Blvd # 241,Daly City,CA,94015,June V,No,Excellent,,037.666653,-122.466813,
(650) 994-9900,Auto Collision Ctr,Automobile Body-Repairing & Painting,http://Autocollisioncenterdc.Com,201 School St,Daly City,CA,94014,Randy,No,Excellent,"$50,000 to $100,000",037.693327,-122.469066,
(650) 758-6500,Auto Sound Performance,Tire-Dealers-Retail,,7338 Mission St,Daly City,CA,94014,Vladiemyer,No,Very Good,"Less than $5,000",037.690739,-122.466135,
(650) 731-4992,Auto Threesixty,Automobile Dealers-Used Cars,,72 Bismark St,Daly City,CA,94014,,No,Good,"$10,000 to $20,000",037.695448,-122.462174,
(650) 991-1551,Automotive C,Automobile Repairing & Service,,1699 Bryant St,Daly City,CA,94015,,No,Very Good,"$5,000 to $10,000",037.686323,-122.472991,
(415) 469-5914,Autoreturn,Automobile Repairing & Service,http://Autoreturn.Com,2650 Bayshore Blvd,Daly City,CA,94014,,No,Very Good,"$5,000 to $10,000",037.707083,-122.407465,
(650) 994-5484,B & B Transmissions,Transmissions-Automobile,,7073 Mission St,Daly City,CA,94014,Fred,No,Excellent,"$20,000 to $50,000",037.694782,-122.464453,
(650) 756-6868,Banana Island,Restaurants,http://Bananaislanddalycity.Com,311 Lake Merced Blvd,Daly City,CA,94015,Alice,No,Excellent,"$20,000 to $50,000",037.699270,-122.483802,
(650) 755-8749,Bangkok Garden,Restaurants,http://Bangkokgarden.Biz,201 Southgate Ave,Daly City,CA,94015,Wilbert,No,Excellent,"$5,000 to $10,000",037.697108,-122.484476,
(650) 994-4930,Bank Of America,Banks,http://Locators.Bankofamerica.Com,33 Southgate Ave,Daly City,CA,94015,Alvin,No,Excellent,"$50,000 to $100,000",037.698065,-122.481353,"Welcome To Bank Of America IN Daly City, CA, Home To A Variety Of Your Financial Needs Including Checking And Savings Accounts, Online Banking, Mobile And Text Banking, Student Banking And Credit Cards. You Have Full Access To Your Bank Of America Accounts At Any Of Our More Than 5,000 Banking Centers Nationwide. When You Visit Our Financial Centers, Our Knowledgeable Associates And Welcoming Environment Will Make You Feel At Home.Easy Access For Everyone: Handicap Accessible Parking Spaces, Handicap Accessible Restrooms And Braille Signage (Where Available), Ramps IN Locations With Steps, Easy-To-Open Doors, Handicap Accessible Safe Deposit Box Rooms."
(650) 758-3334,Bank Of America,Banks,http://Locators.Bankofamerica.Com,391 Gellert Blvd,Daly City,CA,94015,,No,Excellent,"$100,000 to $250,000",037.664777,-122.468588,"Welcome To Bank Of America IN Daly City, CA, Home To A Variety Of Your Financial Needs Including Checking And Savings Accounts, Online Banking, Mobile And Text Banking, Student Banking And Credit Cards. You Have Full Access To Your Bank Of America Accounts At Any Of Our More Than 5,000 Banking Centers Nationwide. When You Visit Our Financial Centers, Our Knowledgeable Associates And Welcoming Environment Will Make You Feel At Home.Easy Access For Everyone: Handicap Accessible Parking Spaces, Handicap Accessible Restrooms And Braille Signage (Where Available), Ramps IN Locations With Steps, Easy-To-Open Doors, Handicap Accessible Safe Deposit Box Rooms."
(415) 840-2380,Bank Of America,Banks,http://Locators.Bankofamerica.Com,7395 Mission St,Daly City,CA,94014,,No,Excellent,"$100,000 to $250,000",037.689780,-122.465808,"Welcome To Bank Of America IN Daly City, CA, Home To A Variety Of Your Financial Needs Including Checking And Savings Accounts, Online Banking, Mobile And Text Banking, Student Banking And Credit Cards. You Have Full Access To Your Bank Of America Accounts At Any Of Our More Than 5,000 Banking Centers Nationwide. When You Visit Our Financial Centers, Our Knowledgeable Associates And Welcoming Environment Will Make You Feel At Home.Easy Access For Everyone: Handicap Accessible Parking Spaces, Handicap Accessible Restrooms And Braille Signage (Where Available), Ramps IN Locations With Steps, Easy-To-Open Doors, Handicap Accessible Safe Deposit Box Rooms."
(650) 350-2487,Bank Of America Mortgage,Real Estate Loans,http://Bankofamerica.Com,391 Serramonte Plz,Daly City,CA,94015,Christopher,No,Very Good,,037.669057,-122.468612,
(650) 757-6833,Barracuda Japanese Restaurant,Restaurants,http://Barracudasushi.Com,127h Serramonte Ctr,Daly City,CA,94015,Gilbert,No,Excellent,"$20,000 to $50,000",037.671577,-122.467729,
(650) 992-5734,Baskin-Robbins,Ice Cream Parlors,http://Baskinrobbins.Com,310 Westlake Ctr,Daly City,CA,94015,Kurt,No,Excellent,"$5,000 to $10,000",037.700365,-122.483279,
(650) 878-1373,Bautista Dental Offices,Dentists,,980 King Plz # 5,Daly City,CA,94015,Maria D,No,Excellent,,037.650567,-122.468682,
(415) 585-5900,Bay Appliance Repair,Appliances-Household-Major-Repairing,http://Bayappliancerepair.Com,257 N Lake Merced Hls,San Francisco,CA,94132,Gene,No,Excellent,"$50,000 to $100,000",037.712635,-122.481353,Bay Area Appliance Repair Is Our Specialty. We Are Authorized To Repair And Service All Major Brands Of Both Commercial And Residential Appliances.
(650) 755-6000,Bay Area Aesthetic Masters,Dentists,http://Baaestheticmasters.Com,901 Campus Dr # 202,Daly City,CA,94015,,No,Excellent,"$10,000 to $20,000",037.665400,-122.475883,
(650) 756-8775,Bay Auto Club,Automobile Repairing & Service,http://Accconline.Com,6918 Mission St,Daly City,CA,94014,Richard,No,Excellent,"$20,000 to $50,000",037.697196,-122.464932,
(650) 994-4515,Bay Luxury Autos,Automobile Dealers-Used Cars,,6918 Mission St,Daly City,CA,94014,,No,Good,"$10,000 to $20,000",037.697196,-122.464932,
(650) 757-3636,Bayside Endodontics,Dentists,http://Baysideendo.Com,333 Gellert Blvd # 242,Daly City,CA,94015,Rowshan,No,Excellent,"$5,000 to $10,000",037.666653,-122.466813,
(650) 992-0272,Bell Plumbing North Inc,Plumbing Contractors,,,San Francisco,CA,94132,,No,Very Good,"Less than $5,000",037.721935,-122.480913,
(650) 756-4388,Belva Dental,Dentists,,66 San Pedro Rd # B,Daly City,CA,94014,Sharareh,No,Excellent,"$10,000 to $20,000",037.688767,-122.467373,
(650) 755-0404,Best Carpet Co,Carpet & Rug Dealers-New,,1369 S Mayfair Ave,Daly City,CA,94015,,No,Very Good,"$20,000 to $50,000",037.686709,-122.488198,
(650) 756-4567,Best Friends Grooming,Pet Washing & Grooming,,2388 Junipero Serra Blvd,Daly City,CA,94015,,No,Very Good,"Less than $5,000",037.693490,-122.471103,
(650) 994-3688,Big 5 Sporting Goods,Sporting Goods-Retail,http://Big5sportinggoods.Com,314 Gellert Blvd,Daly City,CA,94015,Steven,No,Excellent,"$100,000 to $250,000",037.668305,-122.469271,
(650) 756-2451,Block Advisors,Tax Return Preparation & Filing,http://Blockadvisors.Com,7800 El Camino Real # B,Colma,CA,94014,,No,Very Good,"Less than $5,000",037.683938,-122.463842,
(650) 755-8500,Blue Line Pizza,Restaurants,,511 Westlake Ctr,Daly City,CA,94015,Nick,No,Excellent,"$10,000 to $20,000",037.700239,-122.482725,
(650) 994-4700,Blue Water Towing & Auto Svc,Wrecker Service,,7490 Mission St,Daly City,CA,94014,Nelson,No,Excellent,"$20,000 to $50,000",037.686275,-122.464937,
(650) 994-1452,Bluepearl California Inc,Veterinarians,,2201 Junipero Serra Blvd,Daly City,CA,94014,,No,Very Good,"$5,000 to $10,000",037.697201,-122.470269,
(650) 351-7220,Bnr Locksmith Svc,Locks & Locksmiths,,196 Bismark St,Daly City,CA,94014,Oleg,Yes,Good,"Less than $5,000",037.695743,-122.460408,
(650) 400-8652,Boaz Electric,Electric Contractors,,69 Camelot Ct,Daly City,CA,94015,,No,Very Good,"Less than $5,000",037.651099,-122.459337,
(650) 992-2878,Bonifacio Precious Care Home,Home Health Service,,904 87th St,Daly City,CA,94015,Joann,Yes,Very Good,"Less than $5,000",037.693318,-122.488364,
(415) 668-1327,Bora Beauty Salon,Beauty Salons,,142 Ramsell St,San Francisco,CA,94132,Maria,Yes,Very Good,"Less than $5,000",037.713311,-122.466013,
(650) 892-7811,Bosco Hygiene,Dentists,,39 Santa Ana Ave,Daly City,CA,94015,,Yes,Excellent,"$5,000 to $10,000",037.671712,-122.481824,
(650) 755-3700,Boston Market,Restaurants,http://Bostonmarket.Com,332 Gellert Blvd,Daly City,CA,94015,Dan,No,Excellent,"$20,000 to $50,000",037.666871,-122.468835,
(650) 755-3400,Boulevard Cafe,Restaurants,http://Theboulevardcafe.Com,2 Poncetta Dr,Daly City,CA,94015,Billy,No,Excellent,"$100,000 to $250,000",037.703842,-122.475051,"Boulevard Caf  Is A Dining Facility That Provides A Range Of Food Services. It Serves Breakfast, Lunch And Dinner Specialties. The Restaurant S Menu Includes Omelets, Pancakes, Waffles, Pork Chops, Chili Cheese Fries, Salads, Sandwiches, Hamburgers And Pasta Dishes. Boulevard Caf  Also Offers Fried Chicken, Grilled Salmon, Spaghetti, Mashed Potatoes, French Fries, Onion Rings And Meatballs. It Provides A Children S Menu That Includes Grilled Cheese, Chicken Tenders And Hot Dogs. IN Addition, The Restaurant Features Private And Semiprivate Rooms. Boulevard Caf  Hosts Various Parties And Events. Its Wine List Includes Chardonnay, Sauvignon Blanc, Cabernet Sauvigno, Merlot And Pinot Noir. The Restaurant Also Offers Varieties Of Beer."
(650) 991-1528,Brakes Plus,Automobile Smog Control Inspections,http://Brakeplusinc.Com,7497 Mission St,Daly City,CA,94014,Andrew,No,Very Good,"Less than $5,000",037.687969,-122.465521,
(415) 406-1035,Brandeis Hillel Day School,Schools,http://Sfbrandeis.Org,655 Brotherhood Way,San Francisco,CA,94132,Jonny,No,Institution Or Government,,037.713378,-122.475395,"Brandeis Hillel Day School Is An Independent, Coeducational School Providing Education For Children IN Grades Kindergarten Through Eight. Founded IN 1963 IN San Francisco As The Brandeis School, It Merged With The Hillel Day School To Become Brandeis Hillel Day School. The School Is Accredited By The California Association Of Independent Schools And Western Association Of Schools And Colleges. Brandeis Hillel Day School S Curriculum Includes English, With An Emphasis On Writing, Reading And Public Speaking, Hebrew, Mathematics, Science, Social Studies And Judaic Studies. IN Addition, The School Offers Performing And Visual Arts, Athletics, Music, Technology And Outdoor Education."
(650) 994-7741,Bread Basket Bakery,Restaurants,http://Breadbasketdalycity.Com,7099 Mission St,Daly City,CA,94014,Jamie,No,Excellent,"$10,000 to $20,000",037.694507,-122.464467,
(650) 991-1211,Bridgemont High School,Schools,http://Bridgemont.Org,444 E Market St,Daly City,CA,94014,Dawn,No,Institution Or Government,,037.689751,-122.458912,
